"Pattern","Cohort","r","var","span","sex"
"T",1905,0.786715054108042,"ADL3",0.5,"f"
"A",1905,0.729823948092655,"ADL3",0.5,"f"
"L",1905,0.101076579260892,"ADL3",0.5,"f"
"M",1905,0.958748806943398,"ADL3",0.5,"f"
"T",1910,0.817058514043873,"ADL3",0.5,"f"
"A",1910,0.766277396532172,"ADL3",0.5,"f"
"L",1910,0.205136492532496,"ADL3",0.5,"f"
"M",1910,0.952211846762696,"ADL3",0.5,"f"
"T",1915,0.810974229652564,"ADL3",0.5,"f"
"A",1915,0.779486173437225,"ADL3",0.5,"f"
"L",1915,0.222523845126862,"ADL3",0.5,"f"
"M",1915,0.958689582208133,"ADL3",0.5,"f"
"T",1920,0.834985740828044,"ADL3",0.5,"f"
"A",1920,0.719824476900864,"ADL3",0.5,"f"
"L",1920,0.120090529085217,"ADL3",0.5,"f"
"M",1920,0.925741569866261,"ADL3",0.5,"f"
"T",1925,0.920751165099499,"ADL3",0.5,"f"
"A",1925,0.642830342728853,"ADL3",0.5,"f"
"L",1925,0.188765561714125,"ADL3",0.5,"f"
"M",1925,0.908922012807747,"ADL3",0.5,"f"
"T",1905,0.796854304549635,"ADL3",0.5,"m"
"A",1905,0.669393844488834,"ADL3",0.5,"m"
"L",1905,0.0400725310829527,"ADL3",0.5,"m"
"M",1905,0.921374508494931,"ADL3",0.5,"m"
"T",1910,0.860253203713787,"ADL3",0.5,"m"
"A",1910,0.665618992070605,"ADL3",0.5,"m"
"L",1910,0.0748127620352233,"ADL3",0.5,"m"
"M",1910,0.901285586149765,"ADL3",0.5,"m"
"T",1915,0.859909424342918,"ADL3",0.5,"m"
"A",1915,0.615669220518443,"ADL3",0.5,"m"
"L",1915,0.0250990918927285,"ADL3",0.5,"m"
"M",1915,0.865285191432264,"ADL3",0.5,"m"
"T",1920,0.791982586399607,"ADL3",0.5,"m"
"A",1920,0.765121078138123,"ADL3",0.5,"m"
"L",1920,0.196274426132242,"ADL3",0.5,"m"
"M",1920,0.935850476586322,"ADL3",0.5,"m"
"T",1925,0.859844471753207,"ADL3",0.5,"m"
"A",1925,0.754712529705817,"ADL3",0.5,"m"
"L",1925,0.02187420541999,"ADL3",0.5,"m"
"M",1925,0.943981845596904,"ADL3",0.5,"m"
"T",1905,0.795127565841929,"ADL5",0.5,"f"
"A",1905,0.743593010779978,"ADL5",0.5,"f"
"L",1905,0.107479204813513,"ADL5",0.5,"f"
"M",1905,0.973248553328137,"ADL5",0.5,"f"
"T",1910,0.801356139617021,"ADL5",0.5,"f"
"A",1910,0.806843851227944,"ADL5",0.5,"f"
"L",1910,0.25648705195195,"ADL5",0.5,"f"
"M",1910,0.973575953658385,"ADL5",0.5,"f"
"T",1915,0.819608622420468,"ADL5",0.5,"f"
"A",1915,0.78538502444576,"ADL5",0.5,"f"
"L",1915,0.222492752465525,"ADL5",0.5,"f"
"M",1915,0.967174864067808,"ADL5",0.5,"f"
"T",1920,0.876826635585053,"ADL5",0.5,"f"
"A",1920,0.680749421007465,"ADL5",0.5,"f"
"L",1920,0.0509629779625277,"ADL5",0.5,"f"
"M",1920,0.919411755803499,"ADL5",0.5,"f"
"T",1925,0.942239546079002,"ADL5",0.5,"f"
"A",1925,0.59716820587307,"ADL5",0.5,"f"
"L",1925,0.253835384699454,"ADL5",0.5,"f"
"M",1925,0.89273724382047,"ADL5",0.5,"f"
"T",1905,0.862149736325762,"ADL5",0.5,"m"
"A",1905,0.568816579641402,"ADL5",0.5,"m"
"L",1905,0.0953147008814265,"ADL5",0.5,"m"
"M",1905,0.886191812494643,"ADL5",0.5,"m"
"T",1910,0.872790415196982,"ADL5",0.5,"m"
"A",1910,0.641712746311464,"ADL5",0.5,"m"
"L",1910,0.0422961878058534,"ADL5",0.5,"m"
"M",1910,0.890313194369595,"ADL5",0.5,"m"
"T",1915,0.869242126929146,"ADL5",0.5,"m"
"A",1915,0.607281001850629,"ADL5",0.5,"m"
"L",1915,0.0103013430921493,"ADL5",0.5,"m"
"M",1915,0.863865796608965,"ADL5",0.5,"m"
"T",1920,0.809928154337314,"ADL5",0.5,"m"
"A",1920,0.745525250387251,"ADL5",0.5,"m"
"L",1920,0.163789077304757,"ADL5",0.5,"m"
"M",1920,0.931145639913428,"ADL5",0.5,"m"
"T",1925,0.870793248356105,"ADL5",0.5,"m"
"A",1925,0.75168906948569,"ADL5",0.5,"m"
"L",1925,0.034786284983485,"ADL5",0.5,"m"
"M",1925,0.948213928592247,"ADL5",0.5,"m"
"T",1905,0.848320793445861,"IADL3",0.5,"f"
"A",1905,0.646722597201203,"IADL3",0.5,"f"
"L",1905,0.0161391237988839,"IADL3",0.5,"f"
"M",1905,0.933951732986229,"IADL3",0.5,"f"
"T",1910,0.796386273725804,"IADL3",0.5,"f"
"A",1910,0.791556705407485,"IADL3",0.5,"f"
"L",1910,0.244316542721488,"IADL3",0.5,"f"
"M",1910,0.965807447144668,"IADL3",0.5,"f"
"T",1915,0.773357872356612,"IADL3",0.5,"f"
"A",1915,0.819602787909562,"IADL3",0.5,"f"
"L",1915,0.288474688574741,"IADL3",0.5,"f"
"M",1915,0.968934925868554,"IADL3",0.5,"f"
"T",1920,0.77548704723213,"IADL3",0.5,"f"
"A",1920,0.782575273675863,"IADL3",0.5,"f"
"L",1920,0.22593202975601,"IADL3",0.5,"f"
"M",1920,0.945552863078001,"IADL3",0.5,"f"
"T",1925,0.881265956505676,"IADL3",0.5,"f"
"A",1925,0.693369394434561,"IADL3",0.5,"f"
"L",1925,0.102564608077343,"IADL3",0.5,"f"
"M",1925,0.918093152390986,"IADL3",0.5,"f"
"T",1905,0.894202798510726,"IADL3",0.5,"m"
"A",1905,0.526503415120004,"IADL3",0.5,"m"
"L",1905,0.155476952213699,"IADL3",0.5,"m"
"M",1905,0.873947988952678,"IADL3",0.5,"m"
"T",1910,0.910572439720873,"IADL3",0.5,"m"
"A",1910,0.576377703792462,"IADL3",0.5,"m"
"L",1910,0.0489868609230633,"IADL3",0.5,"m"
"M",1910,0.862059250177806,"IADL3",0.5,"m"
"T",1915,0.892135219824738,"IADL3",0.5,"m"
"A",1915,0.63228018055406,"IADL3",0.5,"m"
"L",1915,0.0195779626128839,"IADL3",0.5,"m"
"M",1915,0.893077177241883,"IADL3",0.5,"m"
"T",1920,0.879615551192027,"IADL3",0.5,"m"
"A",1920,0.640502056661631,"IADL3",0.5,"m"
"L",1920,0.00871245681375785,"IADL3",0.5,"m"
"M",1920,0.892581376741914,"IADL3",0.5,"m"
"T",1925,0.857638119008207,"IADL3",0.5,"m"
"A",1925,0.713287423799416,"IADL3",0.5,"m"
"L",1925,0.0613065971425318,"IADL3",0.5,"m"
"M",1925,0.917216578426803,"IADL3",0.5,"m"
"T",1905,0.899559429397369,"IADL5",0.5,"f"
"A",1905,0.594656390423767,"IADL5",0.5,"f"
"L",1905,0.09841719953183,"IADL5",0.5,"f"
"M",1905,0.925469473007011,"IADL5",0.5,"f"
"T",1910,0.852334262918812,"IADL5",0.5,"f"
"A",1910,0.766075873664609,"IADL5",0.5,"f"
"L",1910,0.180708227916685,"IADL5",0.5,"f"
"M",1910,0.969446126288667,"IADL5",0.5,"f"
"T",1915,0.865771681551227,"IADL5",0.5,"f"
"A",1915,0.75001310533057,"IADL5",0.5,"f"
"L",1915,0.155416885240404,"IADL5",0.5,"f"
"M",1915,0.964543677317264,"IADL5",0.5,"f"
"T",1920,0.896888966627733,"IADL5",0.5,"f"
"A",1920,0.678285342089855,"IADL5",0.5,"f"
"L",1920,0.0340889990786279,"IADL5",0.5,"f"
"M",1920,0.927792395056606,"IADL5",0.5,"f"
"T",1925,0.923713130473428,"IADL5",0.5,"f"
"A",1925,0.658682521521798,"IADL5",0.5,"f"
"L",1925,0.175588544645027,"IADL5",0.5,"f"
"M",1925,0.920343342065008,"IADL5",0.5,"f"
"T",1905,0.907466163054157,"IADL5",0.5,"m"
"A",1905,0.532465446356795,"IADL5",0.5,"m"
"L",1905,0.159431295233079,"IADL5",0.5,"m"
"M",1905,0.885595383840288,"IADL5",0.5,"m"
"T",1910,0.921933160716137,"IADL5",0.5,"m"
"A",1910,0.602703965427102,"IADL5",0.5,"m"
"L",1910,0.0304629355223595,"IADL5",0.5,"m"
"M",1910,0.886541099788315,"IADL5",0.5,"m"
"T",1915,0.896976660394285,"IADL5",0.5,"m"
"A",1915,0.661746936205851,"IADL5",0.5,"m"
"L",1915,0.0457197050726447,"IADL5",0.5,"m"
"M",1915,0.91660006430535,"IADL5",0.5,"m"
"T",1920,0.887024865622609,"IADL5",0.5,"m"
"A",1920,0.654841096103321,"IADL5",0.5,"m"
"L",1920,0.0177297078981354,"IADL5",0.5,"m"
"M",1920,0.906374510301293,"IADL5",0.5,"m"
"T",1925,0.887457616901847,"IADL5",0.5,"m"
"A",1925,0.699752620794773,"IADL5",0.5,"m"
"L",1925,0.101773510863774,"IADL5",0.5,"m"
"M",1925,0.92547545737386,"IADL5",0.5,"m"
"T",1905,0.83703233053853,"CESD",0.5,"f"
"A",1905,0.211561208417895,"CESD",0.5,"f"
"L",1905,0.773994042521227,"CESD",0.5,"f"
"M",1905,0.316462977039837,"CESD",0.5,"f"
"T",1910,0.831528396841059,"CESD",0.5,"f"
"A",1910,0.0691442312328875,"CESD",0.5,"f"
"L",1910,0.640222787155919,"CESD",0.5,"f"
"M",1910,0.360058174635149,"CESD",0.5,"f"
"T",1915,0.903958558198919,"CESD",0.5,"f"
"A",1915,0.196484496799629,"CESD",0.5,"f"
"L",1915,0.424337774564337,"CESD",0.5,"f"
"M",1915,0.586287824096513,"CESD",0.5,"f"
"T",1920,0.879187388513407,"CESD",0.5,"f"
"A",1920,0.11143596953862,"CESD",0.5,"f"
"L",1920,0.520046099676094,"CESD",0.5,"f"
"M",1920,0.52119716610898,"CESD",0.5,"f"
"T",1925,0.917985484539373,"CESD",0.5,"f"
"A",1925,0.226820183399586,"CESD",0.5,"f"
"L",1925,0.602277838103924,"CESD",0.5,"f"
"M",1925,0.650929337429934,"CESD",0.5,"f"
"T",1905,0.816210459203109,"CESD",0.5,"m"
"A",1905,0.202941893058549,"CESD",0.5,"m"
"L",1905,0.38962233469852,"CESD",0.5,"m"
"M",1905,0.600013216616106,"CESD",0.5,"m"
"T",1910,0.845512661369113,"CESD",0.5,"m"
"A",1910,0.371324478603308,"CESD",0.5,"m"
"L",1910,0.209358215461807,"CESD",0.5,"m"
"M",1910,0.6829139749352,"CESD",0.5,"m"
"T",1915,0.947777302125221,"CESD",0.5,"m"
"A",1915,0.309499111504283,"CESD",0.5,"m"
"L",1915,0.341417074990975,"CESD",0.5,"m"
"M",1915,0.688945469714312,"CESD",0.5,"m"
"T",1920,0.947375036662412,"CESD",0.5,"m"
"A",1920,0.375188543816328,"CESD",0.5,"m"
"L",1920,0.305269747885866,"CESD",0.5,"m"
"M",1920,0.740593323063521,"CESD",0.5,"m"
"T",1925,0.914258947874606,"CESD",0.5,"m"
"A",1925,0.666562898805118,"CESD",0.5,"m"
"L",1925,0.159169422229424,"CESD",0.5,"m"
"M",1925,0.919937485867321,"CESD",0.5,"m"
"T",1905,0.922251525048538,"LIMWORK",0.5,"f"
"A",1905,0.376849241238373,"LIMWORK",0.5,"f"
"L",1905,0.248662083999644,"LIMWORK",0.5,"f"
"M",1905,0.767798420742897,"LIMWORK",0.5,"f"
"T",1910,0.920595632259916,"LIMWORK",0.5,"f"
"A",1910,0.56863306497049,"LIMWORK",0.5,"f"
"L",1910,0.0112028524294093,"LIMWORK",0.5,"f"
"M",1910,0.85758747552762,"LIMWORK",0.5,"f"
"T",1915,0.941059855083482,"LIMWORK",0.5,"f"
"A",1915,0.541222212555601,"LIMWORK",0.5,"f"
"L",1915,0.0515030679902535,"LIMWORK",0.5,"f"
"M",1915,0.846743954706237,"LIMWORK",0.5,"f"
"T",1920,0.94720238598014,"LIMWORK",0.5,"f"
"A",1920,0.450053232718747,"LIMWORK",0.5,"f"
"L",1920,0.230281051506182,"LIMWORK",0.5,"f"
"M",1920,0.793027951541803,"LIMWORK",0.5,"f"
"T",1925,0.973435021128862,"LIMWORK",0.5,"f"
"A",1925,0.510298372045661,"LIMWORK",0.5,"f"
"L",1925,0.368880072137625,"LIMWORK",0.5,"f"
"M",1925,0.856554247443027,"LIMWORK",0.5,"f"
"T",1905,0.863113653294468,"LIMWORK",0.5,"m"
"A",1905,0.601191206741182,"LIMWORK",0.5,"m"
"L",1905,0.00632763131242726,"LIMWORK",0.5,"m"
"M",1905,0.904414116221163,"LIMWORK",0.5,"m"
"T",1910,0.896007329087531,"LIMWORK",0.5,"m"
"A",1910,0.629131429443851,"LIMWORK",0.5,"m"
"L",1910,0.0647824216355909,"LIMWORK",0.5,"m"
"M",1910,0.891198535603593,"LIMWORK",0.5,"m"
"T",1915,0.836423379008941,"LIMWORK",0.5,"m"
"A",1915,0.63006010526625,"LIMWORK",0.5,"m"
"L",1915,0.104010028412307,"LIMWORK",0.5,"m"
"M",1915,0.872594008277286,"LIMWORK",0.5,"m"
"T",1920,0.864240142355279,"LIMWORK",0.5,"m"
"A",1920,0.750366535237255,"LIMWORK",0.5,"m"
"L",1920,0.12962042294858,"LIMWORK",0.5,"m"
"M",1920,0.961909644172694,"LIMWORK",0.5,"m"
"T",1925,0.927047182853828,"LIMWORK",0.5,"m"
"A",1925,0.609585070530614,"LIMWORK",0.5,"m"
"L",1925,0.227697215615975,"LIMWORK",0.5,"m"
"M",1925,0.891933111350537,"LIMWORK",0.5,"m"
"T",1905,0.819542691969891,"SRH",0.5,"f"
"A",1905,0.0334191391772626,"SRH",0.5,"f"
"L",1905,0.556489732009957,"SRH",0.5,"f"
"M",1905,0.406852283087117,"SRH",0.5,"f"
"T",1910,0.855837233320029,"SRH",0.5,"f"
"A",1910,0.0200941860943667,"SRH",0.5,"f"
"L",1910,0.559142113259638,"SRH",0.5,"f"
"M",1910,0.387514365256998,"SRH",0.5,"f"
"T",1915,0.91875283723309,"SRH",0.5,"f"
"A",1915,0.143780752645026,"SRH",0.5,"f"
"L",1915,0.434894482792547,"SRH",0.5,"f"
"M",1915,0.539474044584823,"SRH",0.5,"f"
"T",1920,0.966423144401497,"SRH",0.5,"f"
"A",1920,0.265359699398073,"SRH",0.5,"f"
"L",1920,0.428780019775505,"SRH",0.5,"f"
"M",1920,0.673140712375136,"SRH",0.5,"f"
"T",1925,0.976265279121627,"SRH",0.5,"f"
"A",1925,0.334431963146884,"SRH",0.5,"f"
"L",1925,0.54730268845108,"SRH",0.5,"f"
"M",1925,0.749715768763473,"SRH",0.5,"f"
"T",1905,0.936855210857317,"SRH",0.5,"m"
"A",1905,0.00768356995547415,"SRH",0.5,"m"
"L",1905,0.608344771396049,"SRH",0.5,"m"
"M",1905,0.487915020044792,"SRH",0.5,"m"
"T",1910,0.943610869796527,"SRH",0.5,"m"
"A",1910,0.0452449239413616,"SRH",0.5,"m"
"L",1910,0.549087109781029,"SRH",0.5,"m"
"M",1910,0.477586418917843,"SRH",0.5,"m"
"T",1915,0.972268338432679,"SRH",0.5,"m"
"A",1915,0.402719464956889,"SRH",0.5,"m"
"L",1915,0.209662436736536,"SRH",0.5,"m"
"M",1915,0.757998894000191,"SRH",0.5,"m"
"T",1920,0.94479478860549,"SRH",0.5,"m"
"A",1920,0.58007136539251,"SRH",0.5,"m"
"L",1920,0.098533646333924,"SRH",0.5,"m"
"M",1920,0.883029522211567,"SRH",0.5,"m"
"T",1925,0.92370509450445,"SRH",0.5,"m"
